EJ_over_EC,E01_GHz,alpha_MHz,charge_dispersion_kHz
20.0,2.8887054301755097,-363.8234087413363,4352.910372064113
26.666666666666668,3.380630990116905,-319.1708729429772,922.943236289978
33.333333333333336,3.8140636026890156,-302.4457900926731,224.16006698799134
40.0,4.205581703588931,-294.24516828201644,60.518154412269595
46.66666666666667,4.565339989016056,-289.2147551947062,17.787365904808045
53.333333333333336,4.899993752207782,-285.66005222873423,5.607500390052795
60.0,5.214163573423881,-282.9354307016825,1.875308247566223
66.66666666666667,5.511207377920539,-280.7442546463852,0.659735710144043
73.33333333333334,5.793655212502175,-278.92670830103674,0.24255100345611572
80.0,6.063469337990767,-277.3858237185163,0.09270110988616943
